Geo Point;Geo Shape;codcen;dlibre;dgenerica_;despecific;regimen;direccion;codpos;municipio_;provincia_;telef;fax;mail
39.46011099907404, -0.37255900000000086;"{""coordinates"": [-0.372559, 39.46011099907404], ""type"": ""Point""}";46023407;CENTRE PRIV. ED. INFANTIL PATUFET;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;PATUFET;PRIVADO;CL. CÁDIZ, 78-80;46006;València;València;963339034;0;patufet.escol@hotmail.com
39.44016599907417, -0.3906260000000007;"{""coordinates"": [-0.390626, 39.44016599907417], ""type"": ""Point""}";46023419;CIPFP CIUTAT DE L'APRENENT;CENTRE INTEGRAT PÚBLIC DE FORMACIÓ PROFESSIONAL;CIUTAT DE L'APRENENT;PÚBLICO;CL. CIUDAD DEL APRENDIZ, 4;46017;València;València;961205935;961205936;46023419@edu.gva.es
39.47754099907394, -0.3540579999999999;"{""coordinates"": [-0.354058, 39.47754099907394], ""type"": ""Point""}";46023420;CENTRE PRIV. ED. INFANTIL JESÚS-KIND;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;JESÚS-KIND;PRIVADO;CL. GORGOS, 5;46021;València;València;963699811;963699811;martafg1@hotmail.com
39.499743999073786, -0.4253710000000012;"{""coordinates"": [-0.425371, 39.499743999073786], ""type"": ""Point""}";46023456;CENTRE PRIV. ED. INF. 1er CICLE LES PIRULETES;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;LES PIRULETES;PRIVADO;CL. VILLAMARCHANTE, 11;46035;València;València;609816434;0;r_marticis@hotmail.com
39.49571699907382, -0.37145400000000023;"{""coordinates"": [-0.371454, 39.49571699907382], ""type"": ""Point""}";46023675;CENTRE PRIV. ED. INF. 1er CICLE REDOLINS;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;REDOLINS;PRIVADO;AV. CONSTITUCIÓN, 221;46019;València;València;963652000;963652000;escuela@redolins.es
39.492615999073834, -0.3928149999999997;"{""coordinates"": [-0.392815, 39.492615999073834], ""type"": ""Point""}";46023845;ESCOLA PRIVADA DE MÚSICA AGRUPACIÓN MUSICAL BENICALAP;ESCOLA PRIVADA DE MÚSICA;AGRUPACIÓN MUSICAL BENICALAP;PRIVADO;CL. ALMISERAT, 4;46025;València;València;963232630;0;bandabenicalap@hotmail.com
39.45248999907409, -0.3796939999999996;"{""coordinates"": [-0.379694, 39.45248999907409], ""type"": ""Point""}";46023870;IES MALILLA;INSTITUT D'EDUCACIÓ SECUNDÀRIA;MALILLA;PÚBLICO;CL. BERNARDO MORALES SAN MARTÍN, S/N;46026;València;València;961206310;961206311;46023870@edu.gva.es
39.47199699907396, -0.3372930000000017;"{""coordinates"": [-0.337293, 39.47199699907396], ""type"": ""Point""}";46023900;CEIP MARE NOSTRUM;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;MARE NOSTRUM;PÚBLICO;AV. BLASCO IBÁÑEZ, 171;46022;València;València;961205560;961205561;46023900@edu.gva.es
39.459630999074044, -0.3944349999999995;"{""coordinates"": [-0.394435, 39.459630999074044], ""type"": ""Point""}";46024084;CEIP HUMANISTA MARINER;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;HUMANISTA MARINER;PÚBLICO;CL. HUMANISTA MARINER, S/N;46014;València;València;961205495;961205496;46024084@edu.gva.es
39.4980309990738, -0.4199239999999997;"{""coordinates"": [-0.419924, 39.4980309990738], ""type"": ""Point""}";46024199;CENTRE PRIV. ED. INF. 1er CICLE LA MILOTXA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;LA MILOTXA;PRIVADO;CL. SILLA, 19;46035;València;València;962055313;0;ceilamilotxa@gmail.com
39.484097999073875, -0.3582840000000012;"{""coordinates"": [-0.358284, 39.484097999073875], ""type"": ""Point""}";46024278;CENTRE PRIV. ED. INFANTIL BETEL;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;BETEL;PRIVADO;CL. MISTRAL, 4-6-8;46020;València;València;963891505;963611292;administracion@betelschool.com
39.47032599907398, -0.34515499999999977;"{""coordinates"": [-0.345155, 39.47032599907398], ""type"": ""Point""}";46024281;CENTRE PRIV. ED. INF. 1er CICLE  ANAIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;ANAIA;PRIVADO;CL. JOSÉ DE ORGA, 7;46022;València;València;963724573;963724573;anaiaescuela@hotmail.com
39.460814999074024, -0.3640290000000018;"{""coordinates"": [-0.364029, 39.460814999074024], ""type"": ""Point""}";46024357;CENTRE PRIV. ED. INF. 1er CICLE LA ESTRELLA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;LA ESTRELLA;PRIVADO;CL. PEDRO ALEXANDRE, 12;46006;València;València;963339315;0;laestrellaescuelainfantil@gmail.com
39.463896999074024, -0.3641029999999999;"{""coordinates"": [-0.364103, 39.463896999074024], ""type"": ""Point""}";46024400;CENTRE PRIV. ED. INFANTIL TEYSA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;TEYSA;PRIVADO;CL. CISCAR, 58;46005;València;València;963739533;0;tereportoles@hotmail.com
39.482836999073896, -0.38572300000000087;"{""coordinates"": [-0.385723, 39.482836999073896], ""type"": ""Point""}";46024461;CENTRE PRIV. ED. INF. 1er CICLE SAN JUAN BOSCO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;SAN JUAN BOSCO;PRIVADO;CL. GREGORIO GEA, 21;46009;València;València;963486681;963623880;centrosjbs@hotmail.com
39.478515999073906, -0.3865630000000017;"{""coordinates"": [-0.386563, 39.478515999073906], ""type"": ""Point""}";46024552;CENTRE PRIV. ED. INF. 1er CICLE CASA DE LA CARIDAD;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;CASA DE LA CARIDAD;PRIVADO;PS. DE LA PECHINA, 9;46008;València;València;963911726;963914360;escuelainfantil@casacaridad.com
39.47223699907397, -0.32963299999999934;"{""coordinates"": [-0.329633, 39.47223699907397], ""type"": ""Point""}";46024692;ESCOLA PRIVADA DE MÚSICA DE LA SOC.MUS.UNIÓN DE PESCADORES;ESCOLA PRIVADA DE MÚSICA;SOCIEDAD MUSICAL UNIÓN DE PESCADORES;PRIVADO;CL. JOSÉ BENLLIURE, 272;46011;València;València;963722606;0;smupcasinet@gmail.com
39.46837799907399, -0.4044560000000001;"{""coordinates"": [-0.404456, 39.46837799907399], ""type"": ""Point""}";46024709;ESCOLA PRIVADA DE MÚSICA NUESTRA SEÑORA DE FÁTIMA;ESCOLA PRIVADA DE MÚSICA;NUESTRA SEÑORA DE FÁTIMA;PRIVADO;CL. JUMILLA, 6;46018;València;València;963793568;963594426;secretaria@colegiofatima.net
39.45945699907404, -0.3767000000000006;"{""coordinates"": [-0.3767, 39.45945699907404], ""type"": ""Point""}";46024931;CENTRE PRIV. ED. INF. 1er CICLE PITUS RUZAFA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;PITUS RUZAFA;PRIVADO;CL. LITERATO AZORÍN, 38-40;46006;València;València;963415719;963858788;direccion@centrospitus.es
39.503489999073764, -0.4159269999999993;"{""coordinates"": [-0.415927, 39.503489999073764], ""type"": ""Point""}";46025039;CENTRE PRIV. ED. INF. 1er CICLE JESÚS NIÑO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;JESÚS NIÑO;PRIVADO;CL. MAESTRO CHAPÍ, 28;46100;Burjassot;València;963902766;963623880;centrosjbs@hotmail.com
39.46795499907399, -0.3884480000000001;"{""coordinates"": [-0.388448, 39.46795499907399], ""type"": ""Point""}";46025040;IES ABASTOS;INSTITUT D'EDUCACIÓ SECUNDÀRIA;ABASTOS;PÚBLICO;CL. ALBERIQUE, 18;46008;València;València;961205875;961205876;46025040@edu.gva.es
39.48382199907389, -0.35745499999999975;"{""coordinates"": [-0.357455, 39.48382199907389], ""type"": ""Point""}";46025052;CENTRE PRIV. ED. INF. 1er CICLE PADBURY, SL;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;PADBURY, SL;PRIVADO;CL. HERMANOS VILLALONGA, 2;46020;València;València;963691436;0;padbury@colegioingles.edu.es
39.444393999074144, -0.38984299999999966;"{""coordinates"": [-0.389843, 39.444393999074144], ""type"": ""Point""}";46025076;CENTRE PRIV. ED. INF. 1er CICLE GLOBITOS;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;GLOBITOS;PRIVADO;CL. SAN PÍO X, 22;46017;València;València;960917944;0;eiglobitos@gmail.com
39.49111699907385, -0.37634599999999985;"{""coordinates"": [-0.376346, 39.49111699907385], ""type"": ""Point""}";46025118;CENTRE PRIV. ED. INF. 1er CICLE PEKAS;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;PEKAS;PRIVADO;CL. ARQUITECTO LUCINI, 3;46009;València;València;616786656;0;inmapekas@gmail.com
39.48479799907388, -0.38080499999999934;"{""coordinates"": [-0.380805, 39.48479799907388], ""type"": ""Point""}";46025593;CENTRE PRIV. ED. INF. 1er CICLE GARABATOS;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;GARABATOS;PRIVADO;CL. DOCTOR OLÓRIZ, 32;46009;València;València;963488253;963488253;info@garabatosvalencia.com
39.46964099907398, -0.3518120000000005;"{""coordinates"": [-0.351812, 39.46964099907398], ""type"": ""Point""}";46025696;CENTRE PRIV. ED. INF. 1er CICLE CRECIENDO JUNTOS;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;CRECIENDO JUNTOS;PRIVADO;CL. PUEBLA DE FARNALS, 33;46021;València;València;963623830;0;ceicreciendojuntos@hotmail.com
39.46894099907398, -0.355360999999999;"{""coordinates"": [-0.355361, 39.46894099907398], ""type"": ""Point""}";46025726;CENTRE PRIV. ED. INF. 1er CICLE WINNIE;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;WINNIE;PRIVADO;CL. CARDENAL BENLLOCH, 40;46021;València;València;963890975;0;info@escuelainfantilwinnie.es
39.49015699907386, -0.36931899999999956;"{""coordinates"": [-0.369319, 39.49015699907386], ""type"": ""Point""}";46025805;CENTRE PRIV. ED. INF. 1er CICLE LA SENYERA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;LA SENYERA;PRIVADO;CL. MOTILLA DEL PALANCAR, 9;46019;València;València;963659363;0;lasenyera@ei-laaurora.com
39.455284999074074, -0.3778079999999996;"{""coordinates"": [-0.377808, 39.455284999074074], ""type"": ""Point""}";46025921;CENTRE PRIV. ED. INF. 1er CICLE PARC CENTRAL COOP.V.;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;PARC CENTRAL COOPERATIVA VALENCIANA;PRIVADO;CL. INGENIERO JOAQUIN BENLLOCH, 7-B;46006;València;València;963341733;0;parccentral@hotmail.com
39.48508999907387, -0.35808800000000024;"{""coordinates"": [-0.358088, 39.48508999907387], ""type"": ""Point""}";46026241;ESCOLA PRIVADA DE MÚSICA TALLER DE MÚSICA;ESCOLA PRIVADA DE MÚSICA;TALLER DE MÚSICA;PRIVADO;CL. MISTRAL, 22;46020;València;València;963616361;963278929;info@musicajove.net
39.46907299907397, -0.3887590000000005;"{""coordinates"": [-0.388759, 39.46907299907397], ""type"": ""Point""}";46026470;CENTRE PRIV. ED. INF. 1er CICLE PITUS ABASTOS;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;PITUS ABASTOS;PRIVADO;CL. HÉROE ROMEU, 4-6;46008;València;València;963858788;963858788;direccion@centrospitus.es
39.46203099907403, -0.3838020000000008;"{""coordinates"": [-0.383802, 39.46203099907403], ""type"": ""Point""}";46026721;CENTRE PRIV. ED. INFANTIL LA AURORA 2;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;LA AURORA 2;PRIVADO;CL. MASCOTA, 15;46007;València;València;963107302;963107303;laaurora-2@ei-laaurora.com
39.47085399907398, -0.40140899999999974;"{""coordinates"": [-0.401409, 39.47085399907398], ""type"": ""Point""}";46026810;CENTRE PRIV. ED. INF. 1er CICLE COLORINS;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;COLORINS;PRIVADO;CL. LUIS LAMARCA, 19;46018;València;València;963832531;0;eicolorins@hotmail.com
39.49182099907386, -0.37329899999999994;"{""coordinates"": [-0.373299, 39.49182099907386], ""type"": ""Point""}";46027048;CENTRE PRIVAT FP LUMEN 1993 CENTRO ESTUDIOS, SL;CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA;LUMEN 1993 CENTRO ESTUDIOS, SL;CONCERTADO;AV. PRIMADO REIG, 5;46019;València;València;963668744;0;info.lumen@lumenformacionprofesional.com
39.50319599907377, -0.3617760000000006;"{""coordinates"": [-0.361776, 39.50319599907377], ""type"": ""Point""}";46027620;CENTRE FPA MUNICIPAL DE TAVERNES BLANQUES;CENTRE DOCENT PÚBLIC DE FORMACIÓ BÀSICA DE PERSONES ADULTES;MUNICIPAL DE TAVERNES BLANQUES;PÚBLICO;PC. REI EN JAUME, S/N;46016;Tavernes Blanques;València;961861286;961860405;tblanques_epa@gva.es
39.492940999073824, -0.3801580000000006;"{""coordinates"": [-0.380158, 39.492940999073824], ""type"": ""Point""}";46027978;CENTRE PRIV. ED. INF. 1er CICLE LA PAZ;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;LA PAZ;PRIVADO;CL. DOMINGO GÓMEZ, 15-17;46025;València;València;963493434;963493434;e.infantil-lapaz@hotmail.com
39.42437599907426, -0.3660010000000004;"{""coordinates"": [-0.366001, 39.42437599907426], ""type"": ""Point""}";46028119;CEE PÚB. ROSA LLÁCER;CENTRE D'EDUCACIÓ ESPECIAL;ROSA LLÁCER;PÚBLICO;CL. PINTOR RAFAEL MOCHOLÍ, 8;46026;València;València;961205720;961205721;46028119@edu.gva.es
39.49528199907382, -0.3942199999999994;"{""coordinates"": [-0.39422, 39.49528199907382], ""type"": ""Point""}";46028211;CENTRE PRIV. ED. INF. 1er CICLE CHIQUILANDIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;CHIQUILANDIA;PRIVADO;CL. CORA RAGA, 3;46025;València;València;963408390;0;ceichiquilandia@gmail.com
39.46340399907403, -0.36942599999999887;"{""coordinates"": [-0.369426, 39.46340399907403], ""type"": ""Point""}";46028259;CENTRE PRIV. ED. INF. 1er CICLE MI COLE;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;MI COLE;PRIVADO;CL. DOCTOR SUMSI, 8;46005;València;València;963330956;0;info@micolevalencia.org
39.461831999074015, -0.37441400000000036;"{""coordinates"": [-0.374414, 39.461831999074015], ""type"": ""Point""}";46028430;CEIP ALEJANDRA SOLER;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;ALEJANDRA SOLER;PÚBLICO;CL. PUERTO RICO, 5;46006;València;València;961207625;961207626;46028430@edu.gva.es
39.47526399907393, -0.349202000000001;"{""coordinates"": [-0.349202, 39.47526399907393], ""type"": ""Point""}";46028582;EI 1er CICLE MUNICIPAL PARDALETS;ESCOLA INFANTIL DE PRIMER CICLE;MUNICIPAL PARDALETS;PÚBLICO;CL. POETA ARTOLA, S/N;46021;València;València;960058642;0;pardalets.lcrgestio@gmail.com
39.49183099907383, -0.4061130000000011;"{""coordinates"": [-0.406113, 39.49183099907383], ""type"": ""Point""}";46029276;CENTRE PRIV. ED. INF. 1er CICLE EL VALLE 2;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;EL VALLE 2;PRIVADO;CL. MARINA BAIXA (LOCAL 2), 5;46015;València;València;963406226;963406226;pilar@escuelainfantilelvalle.com
39.46387699907402, -0.4018119999999993;"{""coordinates"": [-0.401812, 39.46387699907402], ""type"": ""Point""}";46029525;EI 1er CICLE MUNICIPAL SOLC;ESCOLA INFANTIL DE PRIMER CICLE;MUNICIPAL SOLC;PÚBLICO;CL. TRES FORQUES, 94;46018;València;València;963013205;0;eisolc@valencia.es
39.48710599907386, -0.37501599999999935;"{""coordinates"": [-0.375016, 39.48710599907386], ""type"": ""Point""}";46029720;CENTRE PRIV. ED. INF. 1er CICLE SAINT THOMAS;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;SAINT THOMAS;PRIVADO;CL. SAGUNTO, 118-D;46009;València;València;963267497;0;escuelainfantilsaintthomas@gmail.com
39.48462599907388, -0.39935899999999963;"{""coordinates"": [-0.399359, 39.48462599907388], ""type"": ""Point""}";46029884;CENTRE PRIV. ED. INFANTIL LÁPICES II;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;LÁPICES II;PRIVADO;AV. GENERAL AVILÉS, 54;46015;València;València;963479756;0;generalaviles@escuelas-infantiles.com
39.473238999073956, -0.39773900000000223;"{""coordinates"": [-0.397739, 39.473238999073956], ""type"": ""Point""}";46030369;CENTRE PRIV. ED. INF. 1er CICLE NEMOMARLÍN NOU MOLES;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;NEMOMARLÍN NOU MOLES;PRIVADO;CL. MANOLO TABERNER, 9-11;46018;València;València;962057410;0;noumoles@escuelanemomarlin.com
39.48654299907387, -0.3652070000000001;"{""coordinates"": [-0.365207, 39.48654299907387], ""type"": ""Point""}";46030576;CENTRE PRIV. ED. INF. 1er CICLE DINO SCHOOL-BENIMACLET;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;DINO SCHOOL-BENIMACLET;PRIVADO;CL. BENICARLÓ, 28-30;46020;València;València;963694876;958128877;benimaclet@dinoschool.es
39.45847099907405, -0.3614300000000002;"{""coordinates"": [-0.36143, 39.45847099907405], ""type"": ""Point""}";46030734;CENTRE PRIV. ED. INF. 1er CICLE PIPOLANDIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;PIPOLANDIA;PRIVADO;CL. GODOFREDO ROS, 15;46006;València;València;963337918;0;pipolandia5@gmail.com
39.48531099907387, -0.37163599999999986;"{""coordinates"": [-0.371636, 39.48531099907387], ""type"": ""Point""}";46030746;CENTRE PRIV. ED. INF. 1er CICLE COTÓ;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;COTÓ;PRIVADO;CL. PLATERO SUÁREZ, 6;46009;València;València;963655158;0;cotoescuelainfantil@gmail.com
39.47574399907393, -0.3886410000000007;"{""coordinates"": [-0.388641, 39.47574399907393], ""type"": ""Point""}";46030783;CENTRE PRIV. ED. INF. 1er CICLE LÁPICES IV;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;LÁPICES IV;PRIVADO;GV. FERNANDO EL CATÓLICO, 76;46008;València;València;963322333;963322344;granvia@escuelas-infantiles.com
39.48165699907389, -0.3963580000000007;"{""coordinates"": [-0.396358, 39.48165699907389], ""type"": ""Point""}";46031015;ESCOLA PRIVADA DE MÚSICA CAMPANAR;ESCOLA PRIVADA DE MÚSICA;CAMPANAR;PRIVADO;CL. JUAN AGUILAR, 14;46015;València;València;963264002;0;correo@bandacampanar.com
39.466708999074015, -0.3332269999999993;"{""coordinates"": [-0.333227, 39.466708999074015], ""type"": ""Point""}";46031121;CENTRE PRIV. ED. INF. 1er CICLE EL CARAGOL;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;EL CARAGOL;PRIVADO;CL. FRANCISCO BALDOMÁ, 78;46011;València;València;963724322;0;info@elcaragol.es
39.491663999073836, -0.4056300000000016;"{""coordinates"": [-0.40563, 39.491663999073836], ""type"": ""Point""}";46031222;CENTRE PRIV. ED. INF. 1er CICLE EL VALLE;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;EL VALLE;PRIVADO;CL. MARINA BAIXA (LOCAL 1), 5;46015;València;València;963385888;0;pilar@escuelainfantilelvalle.com
39.42784399907424, -0.3639380000000014;"{""coordinates"": [-0.363938, 39.42784399907424], ""type"": ""Point""}";46031544;CENTRE PRIV. ED. INF. 1er CICLE FORMIGUETES;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;FORMIGUETES;PRIVADO;CL. VICENTE PUCHOL, 29;46026;València;València;678184246;0;escola.infantil.formiguetes@gmail.com
39.46861799907399, -0.3585579999999997;"{""coordinates"": [-0.358558, 39.46861799907399], ""type"": ""Point""}";46031568;CENTRE PRIV. ED. INF. 1er CICLE TEYSA-ARAGÓN;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;TEYSA-ARAGÓN;PRIVADO;CL. SANTA ROSA, 3;46021;València;València;963378876;0;tereportoles@hotmail.com
39.47134499907397, -0.38658899999999957;"{""coordinates"": [-0.386589, 39.47134499907397], ""type"": ""Point""}";46032494;CENTRE PRIV. ED. INF. 1er CICLE LA AURORA 3;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;LA AURORA 3;PRIVADO;CL. ERUDITO ORELLANA, 8;46008;València;València;963217700;0;correo@ei-laaurora.com
39.4835329990739, -0.4040020000000003;"{""coordinates"": [-0.404002, 39.4835329990739], ""type"": ""Point""}";46032500;CENTRE PRIV. ED. INFANTIL L'ALQUERIA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;L'ALQUERIA;PRIVADO;CM. DEL POUET (ALQUERÍA DE RICÓS), S/N;46015;València;València;963637412;0;ceiyat@ucv.es
39.47614699907394, -0.3814110000000005;"{""coordinates"": [-0.381411, 39.47614699907394], ""type"": ""Point""}";46032871;CENTRE PRIV. ED. INF. 1er CICLE QUART 24;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;QUART 24;PRIVADO;CL. QUART, 24;46002;València;València;673809645;0;info@lespetits.es
39.45727399907405, -0.38693300000000125;"{""coordinates"": [-0.386933, 39.45727399907405], ""type"": ""Point""}";46032937;CENTRE PRIVAT FP VERGE DE CORTES. VALÈNCIA;CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA;VERGE DE CORTES. VALÈNCIA;CONCERTADO;CL. URUGUAY, 37;46007;València;València;963813644;0;vergedecortesatencionalcliente@gmail.com
39.487920999073864, -0.37604600000000044;"{""coordinates"": [-0.376046, 39.487920999073864], ""type"": ""Point""}";46032949;CENTRE PRIV. ED. INF. 1er CICLE PASITOS;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;PASITOS;PRIVADO;CL. MAXIMILIANO THOUS, 8;46009;València;València;961198600;961198602;info@escuelapasitos.com
39.45843399907405, -0.36159700000000017;"{""coordinates"": [-0.361597, 39.45843399907405], ""type"": ""Point""}";46033267;CENTRE PRIV. ED. INF. 1er CICLE BABOO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;BABOO;PRIVADO;CL. GODOFREDO ROS, 15;46006;València;València;963347614;0;escuelababoo@hotmail.com
39.45339299907408, -0.3657030000000005;"{""coordinates"": [-0.365703, 39.45339299907408], ""type"": ""Point""}";46033279;EI 1er CICLE MUNICIPAL QUATRE CARRERES;ESCOLA INFANTIL DE PRIMER CICLE;MUNICIPAL QUATRE CARRERES;PÚBLICO;CL. BOMBERO RAMÓN DUART, 7;46013;València;València;963013221;0;eiquatrecarreres@valencia.es
39.48580199907389, -0.3977979999999993;"{""coordinates"": [-0.397798, 39.48580199907389], ""type"": ""Point""}";46033309;CENTRE PRIV. ED. INFANTIL NUNO NONO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;NUNO NONO;PRIVADO;CL. ALZINES, 4;46015;València;València;963463846;0;info@nunonono.com
39.46926399907398, -0.3525920000000023;"{""coordinates"": [-0.352592, 39.46926399907398], ""type"": ""Point""}";46033322;CEE PRIV. FUNDACIÓ MIRA'M;CENTRE PRIVAT D'EDUCACIÓ ESPECIAL;FUNDACIÓ MIRA'M;CONCERTADO;CL. RUGAT, 4-8;46023;València;València;963209070;963812118;info@fundaciomiram.org
39.467673999073995, -0.3999069999999993;"{""coordinates"": [-0.399907, 39.467673999073995], ""type"": ""Point""}";46033334;EI 1er CICLE MUNICIPAL MINI-POLI;ESCOLA INFANTIL DE PRIMER CICLE;MUNICIPAL MINI-POLI;PÚBLICO;CL. SANTA CRUZ DE TENERIFE (CENTRAL P.;46018;València;València;960611169;0;eiminipoli@eulen.com
39.45254899907409, -0.3588799999999998;"{""coordinates"": [-0.35888, 39.45254899907409], ""type"": ""Point""}";46033437;EI 1er CICLE MUNICIPAL MESTRA EMPAR NAVARRO I GINER;ESCOLA INFANTIL DE PRIMER CICLE;MUNICIPAL MESTRA EMPAR NAVARRO I GINER;PÚBLICO;CL. CINEASTA RICARDO MUÑOZ SUAY, S/N;46013;València;València;692830204;0;lamestraempar.lcrgestio@gmail.com
39.47491399907394, -0.36464000000000085;"{""coordinates"": [-0.36464, 39.47491399907394], ""type"": ""Point""}";46033528;ESCOLA PRIVADA DE MÚSICA AULAMEDA;ESCOLA PRIVADA DE MÚSICA;AULAMEDA;PRIVADO;CL. PINTOR PEIRÓ, 2;46010;València;València;963251009;0;toni@adlibitum.es
39.48350799907389, -0.3610899999999995;"{""coordinates"": [-0.36109, 39.48350799907389], ""type"": ""Point""}";46033966;CENTRE PRIV. ED. INF. 1er CICLE IMPULSO INICIAL;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;IMPULSO INICIAL;PRIVADO;CL. M. CUENCA TRAMOYERES, 7;46020;València;València;963693406;0;info@superlittleschool.es
39.47302599907396, -0.35480399999999995;"{""coordinates"": [-0.354804, 39.47302599907396], ""type"": ""Point""}";46034065;CENTRE PRIV. ED. INF. 1er CICLE LLAVORETES;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;LLAVORETES;PRIVADO;CL. CARAVACA, 14;46021;València;València;960150746;0;eillavoretes@gmail.com
39.46998499907398, -0.35486299999999943;"{""coordinates"": [-0.354863, 39.46998499907398], ""type"": ""Point""}";46034077;CENTRE PRIV. ED. INFANTIL SUPERFRIENDS;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;SUPERFRIENDS;PRIVADO;CL. CARDENAL BENLLOCH, 56;46021;València;València;963305132;0;info@superfriends.es
39.45976599907404, -0.3838440000000006;"{""coordinates"": [-0.383844, 39.45976599907404], ""type"": ""Point""}";46034338;CENTRE PRIVAT FP VERGE DE CORTES. SOROLLA;CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA;VERGE DE CORTES. SOROLLA;PRIVADO;CL. ROIG DE CORELLA, 4;46007;València;València;963813644;0;vergedecortesatencionalcliente@gmail.com
39.46589299907401, -0.3833410000000008;"{""coordinates"": [-0.383341, 39.46589299907401], ""type"": ""Point""}";46034363;CENTRE PRIVAT FP PROGRESA;CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA;PROGRESA;PRIVADO;CL. PINTOR BENEDITO, 10;46007;València;València;963899640;0;progresa@cieep.com
39.45852599907404, -0.35702000000000167;"{""coordinates"": [-0.35702, 39.45852599907404], ""type"": ""Point""}";46034478;CENTRE SUPERIOR DE MÚSICA BERKLEE-VALENCIA;CENTRE AUTORITZAT SUPERIOR DE MÚSICA;BERKLEE-VALENCIA;PRIVADO;AV. AUTOPISTA DEL SALER, 1;46013;València;València;963332802;0;infovalencia@berklee.edu
